No,역명,Y좌표,X좌표,역코드
1,다대포해수욕장역,128.9658735,35.04844896,
2,다대포항역,128.9712039,35.05753872,
3,낫개역,128.9796527,35.06532882,
4,신장림역,128.9766615,35.07484503,
5,장림역,128.9773563,35.08192969,
6,동매역,128.9735729,35.08977753,
7,신평,128.9604999,35.09287324,PSS101
8,하단,128.9662374,35.10618054,PSS102
9,당리,128.9738504,35.10348972,PSS103
10,사하,128.9830485,35.09959972,PSS104
11,괴정,128.9927001,35.09969403,PSS105
12,대티,129.0002892,35.10295979,PSS106
13,서대신,129.0121751,35.11090324,PSS107
14,동대신,129.0176206,35.11048715,PSS108
15,토성,129.0197859,35.10070809,PSS109
16,자갈치,129.0271154,35.09775874,PSS110
17,남포,129.034595,35.09787256,PSS111
18,중앙,129.0363565,35.10375765,PSS112
19,부산,129.0392804,35.11443897,PSS113
20,초량,129.0428076,35.12017348,PSS114
21,부산진,129.047379,35.12683762,PSS115
22,좌천,129.0543096,35.13430263,PSS116
23,범일,129.0596724,35.13961091,PSS117
24,범내골,129.060006,35.14725767,PSS118
25,서면(1),129.0590363,35.15776307,PSS119
26,부전,129.0631683,35.16193745,PSS120
27,양정,129.0714814,35.17270954,PSS121
28,시청,129.0766227,35.17977619,PSS122
29,연산(1),129.0815062,35.1860724,PSS123
30,교대,129.0793136,35.19591583,PSS124
31,동래(1),129.0784809,35.20561436,PSS125
32,명륜,129.0797131,35.21257124,PSS126
33,온천장,129.0863788,35.22028467,PSS127
34,부산대,129.0893416,35.22961696,PSS128
35,장전,129.0881453,35.23808961,PSS129
36,구서,129.091295,35.24726699,PSS130
37,두실,129.0914125,35.25687549,PSS131
38,남산,129.0924991,35.26527391,PSS132
39,범어사,129.0926751,35.27314425,PSS133
40,노포,129.0950456,35.28402761,PSS134
41,장산,129.1769497,35.16993002,PSS201
42,중동,129.1686115,35.1666516,PSS202
43,해운대,129.1594396,35.1634787,PSS203
44,동백,129.1486885,35.1610632,PSS204
45,시립미술관,129.1388746,35.16888699,PSS205
46,센텀시티,129.1323648,35.16927875,PSS206
47,민락,129.1227891,35.16672609,PSS207
48,수영(2),129.1145594,35.16625815,PSS208
49,광안,129.1131727,35.15791972,PSS209
50,금련산,129.1109575,35.14974374,PSS210
51,남천,129.108766,35.14247349,PSS211
52,경성대·부경대,129.1015759,35.13751347,PSS212
53,대연,129.0922976,35.13511758,PSS213
54,못골,129.0852261,35.13460172,PSS214
55,지게골,129.0747635,35.13517634,PSS215
56,문현,129.0672037,35.13821721,PSS216
57,국제금융센터·부산은행,129.066743,35.14573357,PSS217
58,전포,129.0653631,35.15283444,PSS218
59,서면(2),129.0590363,35.15776307,PSS219
60,부암,129.0500631,35.15767898,PSS220
61,가야,129.0428194,35.15587357,PSS221
62,동의대,129.0327283,35.15353577,PSS222
63,개금,129.0203729,35.15319378,PSS223
64,냉정,129.0125231,35.15126612,PSS224
65,주례,129.0031375,35.15050477,PSS225
66,감전,128.9912671,35.15553554,PSS226
67,사상(2),128.984637,35.16246567,PSS227
68,덕포,128.9839684,35.17395234,PSS228
69,모덕,128.9855626,35.18039648,PSS229
70,모라,128.9886084,35.18964299,PSS230
71,구남,128.9949998,35.19691959,PSS231
72,구명,128.9995026,35.20274691,PSS232
73,덕천(2),129.0053849,35.21054404,PSS233
74,수정,129.0091489,35.2230836,PSS234
75,화명,129.013878,35.23580387,PSS235
76,율리,129.0129176,35.24716886,PSS236
77,동원,129.0127344,35.25895507,PSS237
78,금곡,129.0169075,35.26747251,PSS238
79,호포,129.0172426,35.28107972,PSS239
80,증산,129.0102783,35.3082454,PSS240
81,부산대 양산캠퍼스,129.0139402,35.31688464,PSS241
82,남양산,129.0194213,35.32545401,PSS242
83,양산,129.0264762,35.33872666,PSS243
84,수영,129.1145594,35.16625815,PSS301
85,망미,129.1075488,35.17193591,PSS302
86,배산,129.0957099,35.17367659,PSS303
87,물만골,129.085484,35.17668881,PSS304
88,연산(3),129.0815062,35.1860724,PSS305
89,거제,129.0739608,35.18854643,PSS306
90,종합운동장,129.0675731,35.1912755,PSS307
91,사직,129.0650702,35.19798153,PSS308
92,미남(3),129.0681218,35.20559663,PSS309
93,만덕,129.0361517,35.212957,PSS310
94,남산정,129.0241565,35.21332952,PSS311
95,숙등,129.0134682,35.21214638,PSS312
96,덕천(3),129.0053849,35.21054404,PSS313
97,구포,128.9964122,35.20667018,PSS314
98,강서구청,128.9819593,35.21121989,PSS315
99,체육공원,128.9694598,35.2125083,PSS316
100,대저,128.9610489,35.21336115,PSS317
101,미남(4),129.0681218,35.20559663,PSS401
102,동래(4),129.0770986,35.2047984,PSS402
103,수안,129.0838967,35.20183716,PSS403
104,낙민,129.0908275,35.20019193,PSS404
105,충렬사,129.0975367,35.19968975,PSS405
106,명장,129.1018214,35.20532941,PSS406
107,서동,129.1074189,35.2130594,PSS407
108,금사,129.1150913,35.21577114,PSS408
109,반여농산물시장,129.1240165,35.21775963,PSS409
110,석대,129.136826,35.2181118,PSS410
111,영산대,129.1461587,35.22560813,PSS411
112,동부산대학,129.1538081,35.2324235,PSS412
113,고촌,129.1604448,35.2359705,PSS413
114,안평,129.1720466,35.23751383,PSS414
